frame_index,filename,ros_sec,ros_nanosec,timestamp_ns,timestamp_s,robot_x_m,robot_y_m,displacement_m
0,frame_000000_13465000000.png,13,465000000,13465000000,13.465,1.0008944557877714e-08,-4.547690915699694e-13,1.000894466954046e-08
1,frame_000001_13498000000.png,13,498000000,13498000000,13.498,1.6432395329101554e-06,1.5850200535713605e-11,1.643239533021818e-06
2,frame_000002_13531000000.png,13,531000000,13531000000,13.531,3.736422837834108e-05,8.992321532981569e-10,3.736422837845275e-05
3,frame_000003_13564000000.png,13,564000000,13564000000,13.564,0.00020755051557701343,7.99556467075053e-09,0.0002075505155771251
4,frame_000004_13597000000.png,13,597000000,13597000000,13.597,0.00039118317838015225,1.81283330618389e-08,0.00039118317838026393
5,frame_000005_13630000000.png,13,630000000,13630000000,13.63,0.0010728234093188283,6.850433733646332e-08,0.00107282340931894
6,frame_000006_13663000000.png,13,663000000,13663000000,13.663,0.0016211888429440117,1.1963511584958092e-07,0.0016211888429441233
7,frame_000007_13696000000.png,13,696000000,13696000000,13.696,0.003259351523954963,3.148468659217615e-07,0.0032593515239550744
8,frame_000008_13729000000.png,13,729000000,13729000000,13.729,0.004397438745399909,4.822685588396526e-07,0.004397438745400021
9,frame_000009_13762000000.png,13,762000000,13762000000,13.762,0.007421291630555378,1.0362212409219902e-06,0.00742129163055549
10,frame_000010_13795000000.png,13,795000000,13795000000,13.795,0.011564850070165679,2.0264667583003675e-06,0.01156485007016579
11,frame_000011_13828000000.png,13,828000000,13828000000,13.828,0.014093670052881256,2.752867365897215e-06,0.014093670052881367
12,frame_000012_13861000000.png,13,861000000,13861000000,13.861,0.02011724211792636,4.837329974472653e-06,0.02011724211792647
13,frame_000013_13894000000.png,13,894000000,13894000000,13.894,0.027467687290837487,8.036510392928258e-06,0.027467687290837598
14,frame_000014_13927000000.png,13,927000000,13927000000,13.927,0.03615648135284161,1.2730519188994504e-05,0.03615648135284172
15,frame_000015_13960000000.png,13,960000000,13960000000,13.96,0.04099583272264359,1.5771366080534713e-05,0.0409958327226437
16,frame_000016_13993000000.png,13,993000000,13993000000,13.993,0.05163177296089943,2.3530969625612742e-05,0.05163177296089954
17,frame_000017_14026000000.png,14,26000000,14026000000,14.026,0.06347919436685329,3.3937064018312634e-05,0.0634791943668534
18,frame_000018_14059000000.png,14,59000000,14059000000,14.059,0.06982727625956694,4.02901460420416e-05,0.06982727625956706
19,frame_000019_14092000000.png,14,92000000,14092000000,14.092,0.0833021712756924,5.561334485918721e-05,0.0833021712756925
20,frame_000020_14125000000.png,14,125000000,14125000000,14.125,0.09039851060368527,6.470794344885473e-05,0.09039851060368538
21,frame_000021_14158000000.png,14,158000000,14158000000,14.158,0.1052291061116409,8.606198901502035e-05,0.105229106111641
22,frame_000022_14191000000.png,14,191000000,14191000000,14.191,0.12080155680770426,0.00011200408188420773,0.12080155680770437
23,frame_000023_14224000000.png,14,224000000,14224000000,14.224,0.13698710077809237,0.00014292752252028813,0.13698710077809248
24,frame_000024_14257000000.png,14,257000000,14257000000,14.257,0.1452711021059858,0.00016036191263585418,0.1452711021059859
25,frame_000025_14290000000.png,14,290000000,14290000000,14.29,0.16214926421092266,0.00019934358995890344,0.16214926421092277
26,frame_000026_14323000000.png,14,323000000,14323000000,14.323,0.17935323319924926,0.00024397149119653882,0.17935323319924937
27,frame_000027_14389000000.png,14,389000000,14389000000,14.389,0.1967897467758499,0.0002943643251654237,0.19678974677585
28,frame_000028_14422000000.png,14,422000000,14422000000,14.422,0.21438032068952814,0.00035055340038178337,0.21438032068952825
29,frame_000029_14455000000.png,14,455000000,14455000000,14.455,0.23206160281410818,0.00041248593192138997,0.2320616028141083
30,frame_000030_14488000000.png,14,488000000,14488000000,14.488,0.24978494015903235,0.0004800307698234064,0.24978494015903246
31,frame_000031_14521000000.png,14,521000000,14521000000,14.521,0.2586509618561482,0.0005158473270297718,0.25865096185614833
32,frame_000032_14554000000.png,14,554000000,14554000000,14.554,0.2763757824907733,0.0005914137971943489,0.27637578249077344
33,frame_000033_14587000000.png,14,587000000,14587000000,14.587,0.29407787117267997,0.0006719801103137929,0.2940778711726801
34,frame_000034_14620000000.png,14,620000000,14620000000,14.62,0.302917746418773,0.0007140364960583686,0.3029177464187731
35,frame_000035_14653000000.png,14,653000000,14653000000,14.653,0.3205743203687126,0.0008014744641418534,0.3205743203687127
36,frame_000036_14686000000.png,14,686000000,14686000000,14.686,0.3382035397875919,0.0008930349968508753,0.338203539787592
37,frame_000037_14719000000.png,14,719000000,14719000000,14.719,0.34701036829649673,0.0009402416485175353,0.34701036829649684
38,frame_000038_14752000000.png,14,752000000,14752000000,14.752,0.3646153196079053,0.0010372664883580725,0.3646153196079054
39,frame_000039_14785000000.png,14,785000000,14785000000,14.785,0.3822192901703744,0.0011374554681476473,0.38221929017037454
40,frame_000040_14818000000.png,14,818000000,14818000000,14.818,0.39102510418636965,0.0011886201304435364,0.39102510418636977
41,frame_000041_14851000000.png,14,851000000,14851000000,14.851,0.40865274727014406,0.0012928668585260575,0.40865274727014417
42,frame_000042_14884000000.png,14,884000000,14884000000,14.884,0.4263121952173212,0.0013993901574478097,0.42631219521732133
